22170;Boqueho;
22170;Châtelaudren;
22800;Cohiniac;
22120;Hillion;
22440;La Méaugon;
22360;Langueux;
22960;Plédran;
22170;Plélo;
22190;Plérin;
22170;Plerneuf;
22440;Ploufragan;
22170;Plouvara;
22590;Pordic;
22000;Saint-Brieuc;
22800;Saint-Donan;
22940;Saint-Julien;
22590;Trégomeur;
22950;Trégueux;
22590;Tréméloir;
22440;Trémuson;
22120;Yffiniac;
22100;Aucaleuc;
22100;Bobital;
22130;Bourseul;
22250;Broons;
22100;Brusvily;
22100;Calorguen;
22350;Caulnes;
22130;Corseul;
22130;Créhen;
22100;Dinan;
22250;Eréac;
22430;Erquy;
22630;Evran;
22240;Fréhel;
22350;Guenroc;
22350;Guitté;
22550;Hénanbihen;
22400;Hénansal;
22240;La Bouillie;
22350;La Chapelle-Blanche;
22980;La Landec;
22770;Lancieux;
22130;Landébia;
22490;Langrolay-sur-Rance;
22980;Languédias;
22130;Languenan;
22250;Lanrelas;
22100;Lanvallay;
22690;La Vicomté-sur-Rance;
22100;Le Hinglé;
22100;Léhon;
22630;Le Quiou;
22630;Les Champs-Géraux;
22550;Matignon;
22270;Mégrit;
22130;Plancoët;
22400;Planguenoual;
22550;Pléboulle;
22980;Plélan-le-Petit;
22370;Pléneuf-Val-André;
22490;Pleslin-Trigavou;
22650;Plessix-Balisson;
22690;Pleudihen-sur-Rance;
22130;Pléven;
22240;Plévenon;
22130;Plorec-sur-Arguenon;
22830;Plouasne;
22650;Ploubalay;
22490;Plouër-sur-Rance;
22130;Pluduno;
22350;Plumaudan;
22250;Plumaugat;
22240;Plurien;
22100;Quévert;
22250;Rouillac;
22550;Ruca;
22400;Saint-Alban;
22630;Saint-André-des-Eaux;
22100;Saint-Carné;
22380;Saint-Cast-le-Guildo;
22400;Saint-Denoual;
22100;Saint-Hélen;
22750;Saint-Jacut-de-la-Mer;
22350;Saint-Jouan-de-l'Isle;
22630;Saint-Judoce;
22630;Saint-Juvat;
22130;Saint-Lormel;
22350;Saint-Maden;
22980;Saint-Maudez;
22980;Saint-Méloir-des-Bois;
22980;Saint-Michel-de-Plélan;
22550;Saint-Pôtan;
22100;Saint-Samson-sur-Rance;
22250;Sévignac;
22100;Taden;
22980;Trébédan;
22250;Trédias;
22630;Tréfumel;
22650;Trégon;
22100;Trélivan;
22490;Tréméreuc;
22250;Trémeur;
22100;Trévron;
